"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
24,21.3,19,0.0254,125.254,151.406,"above-trend",2,"Mean daily temperature in the 10 days before Flowering (previous year) is between 16 °C and 18 °C","tm_fl_y0_b10",NA,"tm_fl_y0_b10=[16|18)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)|days_minTemp.less.0_bb_y1_c20=[0|0.5)"
24,21.3,19,0.0254,125.254,151.406,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 3.66 days","days.tempMax.above.35_sm_y1_b20",NA,"tm_fl_y0_b10=[16|18)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)|days_minTemp.less.0_bb_y1_c20=[0|0.5)"
24,21.3,19,0.0254,125.254,151.406,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"tm_fl_y0_b10=[16|18)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)|days_minTemp.less.0_bb_y1_c20=[0|0.5)"
24,21.3,19,0.0254,125.254,151.406,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"tm_fl_y0_b10=[16|18)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)|days_minTemp.less.0_bb_y1_c20=[0|0.5)"
24,21.3,19,0.0254,125.254,151.406,"above-trend",2,"Frost days (minimum temperature below 0°C) in a 20-day window centred on Bud Break (current year) is between 0 days and 0.5 days","days_minTemp.less.0_bb_y1_c20",NA,"tm_fl_y0_b10=[16|18)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)|days_minTemp.less.0_bb_y1_c20=[0|0.5)"
25,25.8,23,0.029,142.156,222.603,"above-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 74.2 mm and 101 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[74.2|101)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
25,25.8,23,0.029,142.156,222.603,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.29 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[74.2|101)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)"
26,25.8,23,0.029,98.261,178.845,"above-trend",2,"Mean daily temperature in the 10 days before Flowering (previous year) is between 16 °C and 18 °C","tm_fl_y0_b10",NA,"tm_fl_y0_b10=[16|18)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
26,25.8,23,0.029,98.261,178.845,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"tm_fl_y0_b10=[16|18)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
26,25.8,23,0.029,98.261,178.845,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"tm_fl_y0_b10=[16|18)|days.rf.above.1mm_sm_y1_a20=[0|3.46)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
